,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target,content
74,< 0,36,existing credits paid back duly till now,education,1977,unknown/no savings account,>=7 years,4,male;single,bank,4,unknown / no property,40,none,own,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 < 0 36 existing credits paid back duly till now education 1977 unknown/no savings account >=7 years 4 male;single bank 4 unknown / no property 40 none own 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
75,< 0,12,critical account/other credits existing (not at this bank),car(used),1526,< 100 DM,>=7 years,4,male;single,bank,4,unknown / no property,66,none,for free,2,management/self-employed/highly qualified employee/officer,1,No,Yes,__label__1,__label__1 < 0 12 critical account/other credits existing (not at this bank) car(used) 1526 < 100 DM >=7 years 4 male;single bank 4 unknown / no property 66 none for free 2 management/self-employed/highly qualified employee/officer 1 No Yes
76,< 0,42,existing credits paid back duly till now,radio/television,3965,< 100 DM,<1 year,4,male;single,bank,3,car or other,34,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 42 existing credits paid back duly till now radio/television 3965 < 100 DM <1 year 4 male;single bank 3 car or other 34 none own 1 skilled employee;official 1 No Yes
77,0-200 DM,11,delay in paying off in the past,radio/television,4771,< 100 DM,4-7 years,2,male;single,bank,4,building society savings agreement/life insurance,51,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 11 delay in paying off in the past radio/television 4771 < 100 DM 4-7 years 2 male;single bank 4 building society savings agreement/life insurance 51 none own 1 skilled employee;official 1 No Yes
78,no checking account,54,no credits taken/all credits paid back duly,car(used),9436,unknown/no savings account,1-4 years,2,male;single,bank,2,building society savings agreement/life insurance,39,none,own,1,unskilled;resident,2,No,Yes,__label__1,__label__1 no checking account 54 no credits taken/all credits paid back duly car(used) 9436 unknown/no savings account 1-4 years 2 male;single bank 2 building society savings agreement/life insurance 39 none own 1 unskilled;resident 2 No Yes
79,0-200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,< 100 DM,<1 year,2,male;married/widowed,bank,1,building society savings agreement/life insurance,22,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 30 existing credits paid back duly till now furniture/equipment 3832 < 100 DM <1 year 2 male;married/widowed bank 1 building society savings agreement/life insurance 22 none own 1 skilled employee;official 1 No Yes
80,no checking account,24,existing credits paid back duly till now,radio/television,5943,unknown/no savings account,<1 year,1,female;divorced/separated/married,bank,1,car or other,44,none,own,2,skilled employee;official,1,Yes,Yes,__label__2,__label__2 no checking account 24 existing credits paid back duly till now radio/television 5943 unknown/no savings account <1 year 1 female;divorced/separated/married bank 1 car or other 44 none own 2 skilled employee;official 1 Yes Yes
81,no checking account,15,existing credits paid back duly till now,radio/television,1213,500-1000 DM,>=7 years,4,male;single,bank,3,building society savings agreement/life insurance,47,stores,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 15 existing credits paid back duly till now radio/television 1213 500-1000 DM >=7 years 4 male;single bank 3 building society savings agreement/life insurance 47 stores own 1 skilled employee;official 1 Yes Yes
82,no checking account,18,existing credits paid back duly till now,business,1568,100-500 DM,1-4 years,3,female;divorced/separated/married,bank,4,building society savings agreement/life insurance,24,none,rent,1,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 18 existing credits paid back duly till now business 1568 100-500 DM 1-4 years 3 female;divorced/separated/married bank 4 building society savings agreement/life insurance 24 none rent 1 unskilled;resident 1 No Yes
83,< 0,24,existing credits paid back duly till now,others,1755,< 100 DM,>=7 years,4,female;divorced/separated/married,none,4,real estate,58,none,own,1,unskilled;resident,1,Yes,Yes,__label__1,__label__1 < 0 24 existing credits paid back duly till now others 1755 < 100 DM >=7 years 4 female;divorced/separated/married none 4 real estate 58 none own 1 unskilled;resident 1 Yes Yes
84,< 0,10,existing credits paid back duly till now,radio/television,2315,< 100 DM,>=7 years,3,male;single,bank,4,real estate,52,none,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 < 0 10 existing credits paid back duly till now radio/television 2315 < 100 DM >=7 years 3 male;single bank 4 real estate 52 none own 1 unskilled;resident 1 No Yes
85,no checking account,12,critical account/other credits existing (not at this bank),business,1412,< 100 DM,1-4 years,4,female;divorced/separated/married,none,2,real estate,29,none,own,2,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 no checking account 12 critical account/other credits existing (not at this bank) business 1412 < 100 DM 1-4 years 4 female;divorced/separated/married none 2 real estate 29 none own 2 management/self-employed/highly qualified employee/officer 1 Yes Yes
86,0-200 DM,18,critical account/other credits existing (not at this bank),furniture/equipment,1295,< 100 DM,<1 year,4,female;divorced/separated/married,bank,1,building society savings agreement/life insurance,27,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 18 critical account/other credits existing (not at this bank) furniture/equipment 1295 < 100 DM <1 year 4 female;divorced/separated/married bank 1 building society savings agreement/life insurance 27 none own 2 skilled employee;official 1 No Yes
87,0-200 DM,36,existing credits paid back duly till now,education,12612,100-500 DM,1-4 years,1,male;single,bank,4,unknown / no property,47,none,for free,1,skilled employee;official,2,Yes,Yes,__label__2,__label__2 0-200 DM 36 existing credits paid back duly till now education 12612 100-500 DM 1-4 years 1 male;single bank 4 unknown / no property 47 none for free 1 skilled employee;official 2 Yes Yes
88,< 0,18,existing credits paid back duly till now,car(new),2249,100-500 DM,4-7 years,4,male;single,bank,3,car or other,30,none,own,1,management/self-employed/highly qualified employee/officer,2,Yes,Yes,__label__1,__label__1 < 0 18 existing credits paid back duly till now car(new) 2249 100-500 DM 4-7 years 4 male;single bank 3 car or other 30 none own 1 management/self-employed/highly qualified employee/officer 2 Yes Yes
89,< 0,12,no credits taken/all credits paid back duly,repairs,1108,< 100 DM,4-7 years,4,male;single,bank,3,real estate,28,none,own,2,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 12 no credits taken/all credits paid back duly repairs 1108 < 100 DM 4-7 years 4 male;single bank 3 real estate 28 none own 2 skilled employee;official 1 No Yes
90,no checking account,12,critical account/other credits existing (not at this bank),radio/television,618,< 100 DM,>=7 years,4,male;single,bank,4,real estate,56,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 12 critical account/other credits existing (not at this bank) radio/television 618 < 100 DM >=7 years 4 male;single bank 4 real estate 56 none own 1 skilled employee;official 1 No Yes
91,< 0,12,critical account/other credits existing (not at this bank),car(used),1409,< 100 DM,>=7 years,4,male;single,bank,3,real estate,54,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 12 critical account/other credits existing (not at this bank) car(used) 1409 < 100 DM >=7 years 4 male;single bank 3 real estate 54 none own 1 skilled employee;official 1 No Yes
92,no checking account,12,critical account/other credits existing (not at this bank),radio/television,797,unknown/no savings account,>=7 years,4,female;divorced/separated/married,bank,3,building society savings agreement/life insurance,33,bank,own,1,unskilled;resident,2,No,Yes,__label__2,__label__2 no checking account 12 critical account/other credits existing (not at this bank) radio/television 797 unknown/no savings account >=7 years 4 female;divorced/separated/married bank 3 building society savings agreement/life insurance 33 bank own 1 unskilled;resident 2 No Yes
93,>=200 DM,24,critical account/other credits existing (not at this bank),furniture/equipment,3617,unknown/no savings account,>=7 years,4,male;single,stores,4,unknown / no property,20,none,rent,2,skilled employee;official,1,No,Yes,__label__1,__label__1 >=200 DM 24 critical account/other credits existing (not at this bank) furniture/equipment 3617 unknown/no savings account >=7 years 4 male;single stores 4 unknown / no property 20 none rent 2 skilled employee;official 1 No Yes
94,0-200 DM,12,existing credits paid back duly till now,car(new),1318,>=1000 DM,>=7 years,4,male;single,bank,4,real estate,54,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 12 existing credits paid back duly till now car(new) 1318 >=1000 DM >=7 years 4 male;single bank 4 real estate 54 none own 1 skilled employee;official 1 Yes Yes
95,0-200 DM,54,no credits taken/all credits paid back duly,business,15945,< 100 DM,<1 year,3,male;single,bank,4,unknown / no property,58,none,rent,1,skilled employee;official,1,Yes,Yes,__label__2,__label__2 0-200 DM 54 no credits taken/all credits paid back duly business 15945 < 100 DM <1 year 3 male;single bank 4 unknown / no property 58 none rent 1 skilled employee;official 1 Yes Yes
96,no checking account,12,critical account/other credits existing (not at this bank),education,2012,unknown/no savings account,4-7 years,4,female;divorced/separated/married,bank,2,car or other,61,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 12 critical account/other credits existing (not at this bank) education 2012 unknown/no savings account 4-7 years 4 female;divorced/separated/married bank 2 car or other 61 none own 1 skilled employee;official 1 No Yes
97,0-200 DM,18,existing credits paid back duly till now,business,2622,100-500 DM,1-4 years,4,male;single,bank,4,car or other,34,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 18 existing credits paid back duly till now business 2622 100-500 DM 1-4 years 4 male;single bank 4 car or other 34 none own 1 skilled employee;official 1 No Yes
98,0-200 DM,36,critical account/other credits existing (not at this bank),radio/television,2337,< 100 DM,>=7 years,4,male;single,bank,4,real estate,36,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 36 critical account/other credits existing (not at this bank) radio/television 2337 < 100 DM >=7 years 4 male;single bank 4 real estate 36 none own 1 skilled employee;official 1 No Yes
99,0-200 DM,20,delay in paying off in the past,car(used),7057,unknown/no savings account,4-7 years,3,male;single,bank,4,building society savings agreement/life insurance,36,bank,rent,2,management/self-employed/highly qualified employee/officer,2,Yes,Yes,__label__1,__label__1 0-200 DM 20 delay in paying off in the past car(used) 7057 unknown/no savings account 4-7 years 3 male;single bank 4 building society savings agreement/life insurance 36 bank rent 2 management/self-employed/highly qualified employee/officer 2 Yes Yes
100,no checking account,24,existing credits paid back duly till now,car(new),1469,100-500 DM,>=7 years,4,male;married/widowed,bank,4,real estate,41,none,rent,1,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 24 existing credits paid back duly till now car(new) 1469 100-500 DM >=7 years 4 male;married/widowed bank 4 real estate 41 none rent 1 unskilled;resident 1 No Yes
101,0-200 DM,36,existing credits paid back duly till now,radio/television,2323,< 100 DM,4-7 years,4,male;single,bank,4,car or other,24,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 36 existing credits paid back duly till now radio/television 2323 < 100 DM 4-7 years 4 male;single bank 4 car or other 24 none rent 1 skilled employee;official 1 No Yes
102,no checking account,6,delay in paying off in the past,radio/television,932,< 100 DM,1-4 years,3,female;divorced/separated/married,bank,2,real estate,24,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 6 delay in paying off in the past radio/television 932 < 100 DM 1-4 years 3 female;divorced/separated/married bank 2 real estate 24 none own 1 skilled employee;official 1 No Yes
